epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,10935.3,1.2968,0.69218,0.9276,0.4456,0.18547,0.2169,0.06875,2.78202,1.44006,1.4243,0.000286785,0.000286785,0.000286785
83,11076.9,1.32417,0.7047,0.9245,0.43274,0.17943,0.21103,0.06665,2.80327,1.4432,1.4362,0.000261173,0.000261173,0.000261173
84,11214.2,1.27266,0.68379,0.92418,0.44407,0.18193,0.21416,0.06816,2.78101,1.44025,1.42601,0.000236798,0.000236798,0.000236798
85,11362.8,1.29671,0.69261,0.92125,0.45176,0.18366,0.21747,0.0695,2.78,1.43755,1.42406,0.000213685,0.000213685,0.000213685
86,11514.2,1.32175,0.70272,0.92362,0.44568,0.18117,0.21368,0.06781,2.79045,1.44088,1.42743,0.000191855,0.000191855,0.000191855
87,11639.9,1.32279,0.70624,0.92426,0.43775,0.17934,0.21179,0.06731,2.78843,1.45259,1.42287,0.000171332,0.000171332,0.000171332
88,11773.3,1.32146,0.70378,0.92643,0.44695,0.18221,0.21518,0.06839,2.78381,1.43773,1.42527,0.000152134,0.000152134,0.000152134
89,11912.6,1.29069,0.6932,0.92606,0.45446,0.18404,0.21778,0.06905,2.78275,1.43608,1.42169,0.000134282,0.000134282,0.000134282
90,12055.1,1.30368,0.69221,0.92011,0.44776,0.18232,0.21532,0.06812,2.79219,1.43825,1.43188,0.000117792,0.000117792,0.000117792
91,12182.7,1.95872,1.05473,1.07362,0.44421,0.18241,0.21533,0.06816,2.80105,1.43647,1.44472,0.000102681,0.000102681,0.000102681
92,12314.8,1.94918,1.04611,1.06485,0.44733,0.18285,0.21624,0.06837,2.79792,1.43261,1.44621,8.89639e-05,8.89639e-05,8.89639e-05
93,12458.6,1.94995,1.04793,1.07295,0.43757,0.17931,0.21111,0.06658,2.81221,1.44058,1.4521,7.6654e-05,7.6654e-05,7.6654e-05
94,12565.1,1.93239,1.03428,1.06533,0.4442,0.18166,0.21444,0.06787,2.80789,1.43697,1.45376,6.57636e-05,6.57636e-05,6.57636e-05
95,12714.9,1.92552,1.04454,1.06982,0.44531,0.18232,0.21542,0.06834,2.80562,1.43411,1.45146,5.63034e-05,5.63034e-05,5.63034e-05
96,12836.7,1.94028,1.04168,1.06739,0.44546,0.1819,0.21473,0.06762,2.80785,1.43287,1.45357,4.82828e-05,4.82828e-05,4.82828e-05
97,12964.6,1.9416,1.04778,1.06493,0.44158,0.18074,0.21287,0.06706,2.80658,1.44265,1.44925,4.17097e-05,4.17097e-05,4.17097e-05
98,13100.1,1.92694,1.03931,1.06795,0.44453,0.18223,0.21504,0.06799,2.80014,1.43617,1.44912,3.65905e-05,3.65905e-05,3.65905e-05
99,13223.4,1.927,1.04008,1.06089,0.44333,0.18185,0.21398,0.06769,2.8039,1.44002,1.4488,3.29303e-05,3.29303e-05,3.29303e-05
100,13361.6,1.9162,1.02377,1.05587,0.44442,0.18192,0.21462,0.06811,2.80904,1.4363,1.45592,3.07328e-05,3.07328e-05,3.07328e-05
